ITEMID,LABEL,ABBREVIATION,UNITNAME,PARAM_TYPE,LOWNORMALVALUE,HIGHNORMALVALUE,LINKSTO,CATEGORY,FLUID,COUNT,USE_IN_BENCHMARK
224059,Braden Friction/Shear,Braden Friction/Shear,,Text,,,chartevents,Skin - Assessment,,1063850,0
224061,Reason for Restraint (Behavioral)_V1,Reason for Restraint (Behavioral)_V1,,Text,,,chartevents,Restraint/Support Systems,,299,0
224062,Less Restrictive Measures (Acute Med/Surgical),Less Restrictive Measures (Acute M/S),,Text,,,chartevents,Restraint/Support Systems,,5374,0
224063,Restraint Type,Restraint Type,,Text,,,chartevents,Restraint/Support Systems,,2892,0
224064,Restraint Location_V1,Restraint Location_V1,,Text,,,chartevents,Restraint/Support Systems,,4290,0
224065,Circulation/Skin Integrity,Circulation/Skin Integrity,,Text,,,chartevents,Restraint/Support Systems,,50170,0
224066,Position Change,Position Change,,Text,,,chartevents,Restraint/Support Systems,,15756,0
224067,Range of Motion,Range of Motion,,Text,,,chartevents,Restraint/Support Systems,,47079,0
224068,Restraints Evaluated_V1,Restraints Evaluated_V1,,Text,,,chartevents,Restraint/Support Systems,,2690,0
224069,Side Rails_V1,Side Rails_V1,,Text,,,chartevents,Restraint/Support Systems,,5245,0
224070,Sitter,Sitter,,Text,,,chartevents,Restraint/Support Systems,,1584,0
224072,Education Learner,Education Learner,,Text,,,chartevents,Restraint/Support Systems,,613102,0
224073,Education Topic,Education Topic,,Text,,,chartevents,Restraint/Support Systems,,2109975,0
224075,Education Readiness,Education Readiness,,Text,,,chartevents,Restraint/Support Systems,,217993,0
224076,Education Barrier,Education Barrier,,Text,,,chartevents,Restraint/Support Systems,,747141,0
224077,Education Method,Education Method,,Text,,,chartevents,Restraint/Support Systems,,650526,0
224078,Education Handout,Education Handout,,Text,,,chartevents,Restraint/Support Systems,,0,0
224079,Education Response,Education Response,,Text,,,chartevents,Restraint/Support Systems,,598420,0
224080,Head of Bed,HOB,,Text,,,chartevents,Treatments,,3357599,0
224082,Turn,Turn,,Text,,,chartevents,Treatments,,3341422,0
224084,Activity,Activity ,,Text,,,chartevents,Treatments,,1350681,0
224085,Assistance Device,Assistance Device,,Text,,,chartevents,Treatments,,545511,0
224086,Activity Tolerance,Activity Tolerance,,Text,,,chartevents,Treatments,,3194682,0
224087,Therapeutic Bed,Therapeutic Bed,,Text,,,chartevents,Treatments,,1309268,0
224088,Pressure Reducing Device,Pressure Reducing Device,,Text,,,chartevents,Treatments,,2046151,0
224089,Anti Embolic Device,Anti Embolic Device,,Text,,,chartevents,Treatments,,2043062,0
224090,Knee Immobilizer Status,Knee Immobilizer Status,,Text,,,chartevents,Treatments,,15764,0
224091,Continuous Pressure Machine Status,CPM Status,,Text,,,chartevents,Treatments,,625,0
224092,Range of Motion Location,ROM Location,,Text,,,chartevents,Treatments,,159313,0
224093,Position,Position,,Text,,,chartevents,Treatments,,3157996,0
224101,Chest PT R/L,Chest PT R/L,,Text,,,chartevents,Treatments,,38612,0
224105,Warming Device,Warming Device,,Text,,,chartevents,Treatments,,102880,0
224106,Cooling Device,Cooling Device,,Text,,,chartevents,Treatments,,99431,0
224109,Cervical Collar Type,Cervical Collar Type,,Text,,,chartevents,Treatments,,81861,0
224110,Cervical Collar Status,Cervical Collar Status,,Text,,,chartevents,Treatments,,76263,0
224112,Traction/Immobile #1,Traction/Immobile #1,,Text,,,chartevents,Treatments,,394,0
224113,Traction/Immobile Location #1,Traction/Immobile Location #1,,Text,,,chartevents,Treatments,,7282,0
224114,PT Splint Location #1,PT Splint Location #1,,Text,,,chartevents,Treatments,,17171,0
224119,22 Gauge Site Appear,22 Gauge Site Appear,,Text,,,chartevents,Access Lines - Peripheral,,44645,0
224121,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,,Text,,,chartevents,Access Lines - Peripheral,,6230,0
224135,Dialysis Access Site,Dialysis Access Site,,Text,,,chartevents,Dialysis,,0,0
224139,Dialysis Site Appearance,Dialysis Site Appearance,,Text,,,chartevents,Dialysis,,0,0
224144,Blood Flow (ml/min),Blood Flow (ml/min),ml/min,Numeric,,,chartevents,Dialysis,,313631,0
224145,Heparin Dose (per hour),Heparin Dose (per hour),units,Numeric,,,chartevents,Dialysis,,181081,0
224146,System Integrity,System Integrity,,Text,,,chartevents,Dialysis,,380652,0
224149,Access Pressure,Access Pressure,mmHg,Numeric,,,chartevents,Dialysis,,342216,0
224150,Filter Pressure,Filter Pressure,mmHg,Numeric,,,chartevents,Dialysis,,342241,0
224151,Effluent Pressure,Effluent Pressure,mmHg,Numeric,,,chartevents,Dialysis,,341931,0
224152,Return Pressure,Return Pressure,mmHg,Numeric,,,chartevents,Dialysis,,342036,0
224153,Replacement Rate,Replacement Rate,ml/hr,Numeric,,,chartevents,Dialysis,,316017,0
224154,Dialysate Rate,Dialysate Rate,ml/hr,Numeric,,,chartevents,Dialysis,,318185,0
224161,Resp Alarm - High,Resp Alarm - High,insp/min,Numeric,,,chartevents,Alarms,,821024,0
224162,Resp Alarm - Low,Resp Alarm - Low,insp/min,Numeric,,,chartevents,Alarms,,820709,0
224166,Doppler BP,Doppler BP,mmHg,Numeric,,,chartevents,Routine Vital Signs,,841,0
224168,Parameters Checked,Parameters Checked,,Checkbox,,,chartevents,Alarms,,1988017,0
224169,MDI #1 Puff,MDI #1 Puff,,Numeric,,,chartevents,Respiratory,,87969,0
224170,MDI #1 Drug,MDI #1 Drug,,Text,,,chartevents,Respiratory,,131650,0
224172,MDI #2 Puff,MDI #2 Puff,,Numeric,,,chartevents,Respiratory,,42670,0
224173,MDI #2 Drug,MDI #2 Drug,,Text,,,chartevents,Respiratory,,64671,0
224175,MDI #3 Puff,MDI #3 Puff,,Numeric,,,chartevents,Respiratory,,2114,0
224176,MDI #3 Drug,MDI #3 Drug,,Text,,,chartevents,Respiratory,,3267,0
224178,Small Volume Neb Dose #2,SV Neb Dose #2,,Numeric,,,chartevents,Respiratory,,1849,0
224181,Small Volume Neb Drug #1,SV Neb Drug #1,,Text,,,chartevents,Respiratory,,435,0
224183,PICC Line Cap Change,PICC Line Cap Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,306742,0
224184,PICC Line Insertion Date,PICC Line Insertion Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,295563,0
224185,PICC Line Change over Wire Date,PICC Line Change over Wire Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,10435,0
224186,PICC Line Dressing Change,PICC Line Dressing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,320094,0
224187,PICC Line Tubing Change,PICC Line Tubing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,291383,0
224188,PICC Line Site Appear,PICC Line Site Appear,,Text,,,chartevents,Access Lines - Invasive,,342063,0
224191,Hourly Patient Fluid Removal,Hourly PFR,mL,Numeric,,,chartevents,Dialysis,,336784,0
224192,Pulsus Paradoxus,Pulsus Paradoxus,,Numeric,,,chartevents,Routine Vital Signs,,719,0
224226,Impaired Skin Wound Base #1,Site/Wound Base #1,,Text,,,chartevents,Skin - Impairment,,335502,0
224259,Impaired Skin Drainage #1,Site Drainage #1,,Text,,,chartevents,Skin - Impairment,,269284,0
224261,Multi Lumen Cap Change,Multi Lumen Cap Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,551626,0
224262,Multi Lumen Change over Wire Date,Multi Lumen Change over Wire Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,53288,0
224263,Multi Lumen,Multi Lumen,,Processes,,,procedureevents,Access Lines - Invasive,,25502,0
224264,PICC Line,PICC Line,,Processes,,,procedureevents,Access Lines - Invasive,,14595,0
224267,Cordis/Introducer,Cordis/Introducer,,Processes,,,procedureevents,Access Lines - Invasive,,5783,0
224268,Trauma line,Trauma line,,Processes,,,procedureevents,Access Lines - Invasive,,691,0
224269,CCO PAC,CCO PAC,,Processes,,,procedureevents,Access Lines - Invasive,,1922,0
224270,Dialysis Catheter,Dialysis Catheter,,Processes,,,procedureevents,Access Lines - Invasive,,5504,0
224272,IABP line,IABP line,,Processes,,,procedureevents,Access Lines - Invasive,,1076,0
224273,Presep Catheter,Presep Catheter,,Processes,,,procedureevents,Access Lines - Invasive,,124,0
224274,22 Gauge,22 Gauge,,Processes,,,procedureevents,Access Lines - Peripheral,,25771,0
224275,20 Gauge,20 Gauge,,Processes,,,procedureevents,Access Lines - Peripheral,,101294,0
224276,16 Gauge,16 Gauge,,Processes,,,procedureevents,Access Lines - Peripheral,,15681,0
224277,18 Gauge,18 Gauge,,Processes,,,procedureevents,Access Lines - Peripheral,,64918,0
224279,Multi Lumen Dressing Change,Multi Lumen Dressing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,557369,0
224280,Multi Lumen Insertion Date,Multi Lumen Insertion Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,557140,0
224281,Multi Lumen Site Appear,Multi Lumen Site Appear,,Text,,,chartevents,Access Lines - Invasive,,615940,0
224282,Multi Lumen Tubing Change,Multi Lumen Tubing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,548136,0
224283,Multi Lumen Waveform Appear,Multi Lumen Waveform Appear,,Text,,,chartevents,Access Lines - Invasive,,403870,0
224284,Arterial line Cap Change,Arterial line Cap Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,158664,0
224285,Arterial line Change over Wire Date,Arterial line Change over Wire Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,48737,0
224287,Arterial Line Dressing Change,Arterial Line Dressing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,543926,0
224288,Arterial line Insertion Date,Arterial line Insertion Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,576623,0
224289,Arterial line Site Appear,Arterial line Site Appear,,Text,,,chartevents,Access Lines - Invasive,,605717,0
224290,Arterial line Tubing Change,Arterial line Tubing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,551298,0
224291,Arterial line Waveform Appear,Arterial line Waveform Appear,,Text,,,chartevents,Access Lines - Invasive,,576943,0
224292,Cordis/Introducer Cap Change,Cordis Introducer Cap Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,55263,0
224293,Cordis/Introducer Change over Wire Date,Cordis/Introducer Change over Wire Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,3051,0
224295,Cordis/Introducer Dressing Change,Cordis/Introducer Dressing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,58335,0
224296,Cordis/Introducer Insertion Date,Cordis/Introducer Insertion Date,,Date and time,,,datetimeevents,Access Lines - Invasive,,60759,0
224297,Cordis/Introducer Site Appear,Cordis/Introducer Site Appear,,Text,,,chartevents,Access Lines - Invasive,,62564,0
224298,Cordis/Introducer Tubing Change,Cordis/Introducer Tubing Change,,Date and time,,,datetimeevents,Access Lines - Invasive,,55391,0
224309,Assisted Systole,SYS - Assisted,mmHg,Numeric,,,chartevents,IABP,,43405,0
224310,Augmented Diastole,AUG,mmHg,Numeric,,,chartevents,IABP,,43363,0
224311,BAEDP,DIA - Assisted,mmHg,Numeric,,,chartevents,IABP,,43297,0
224314,ABI Brachial BP R (Impella),ABI Brachial BP R (Impella),mmHg,Numeric,,,chartevents,Impella,,22,0
224315,ABI Brachial BP L,ABI Brachial BP L,mmHg,Numeric,,,chartevents,IABP,,31,0
224317,ABI Ankle BP R,ABI Ankle BP R,mmHg,Numeric,,,chartevents,IABP,,31,0
224318,ABI Ankle BP L (Impella),ABI Ankle BP L (Impella),mmHg,Numeric,,,chartevents,Impella,,22,0
224322,IABP Mean,MAP - Assisted,mmHg,Numeric,,,chartevents,IABP,,43281,0
224327,PCA medication,PCA medication,,Text,,,chartevents,Pain/Sedation,,49695,0
224328,PCA dose,PCA dose,,Numeric,,,chartevents,Pain/Sedation,,48796,0
224329,PCA lockout (min),PCA lockout (min),min,Numeric,,,chartevents,Pain/Sedation,,48654,0
224330,PCA 1 hour limit,PCA 1 hour limit,,Numeric,,,chartevents,Pain/Sedation,,48545,0
224331,PCA basal rate (mL/hour),PCA basal rate (mL/hour),ml/hr,Numeric,,,chartevents,Pain/Sedation,,29308,0
224332,PCA inject,PCA inject,,Numeric,,,chartevents,Pain/Sedation,,38281,0
224336,Type of catheter (CVL),Type of catheter (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224337,Insertion site (CVL),Insertion site (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224339,Guidewire exchange (CVL),Guidewire exchange (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224340,Side (CVL),Side (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224341,Acuity (CVL),Acuity (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224345,Barrier precautions in place (CVL),Barrier precautions in place (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224347,Timeout performed by (CVL),Timeout performed by (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224348,Patient identified correctly (CVL),Patient identified correctly (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224349,Verification of (CVL),Verification of (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224351,Number of attempts required to place line (CVL),Number of attempts required to place line (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224359,QTc,QTc,sec,Numeric,,,chartevents,Routine Vital Signs,,2964,0
224363,VAD Beat Rate L,VAD Beat Rate L,bpm,Numeric,,,chartevents,Hemodynamics,,28,0
224366,Epidural Infusion Rate (mL/hr),Epidural Infusion Rate (mL/hr),ml/hr,Numeric,,,chartevents,Pain/Sedation,,22932,0
224367,Epidural Total Dose (mL),Epidural Total Dose (mL),mL,Numeric,,,chartevents,Pain/Sedation,,3643,0
224368,Epidural Medication,Epidural Medication,,Text,,,chartevents,Pain/Sedation,,22698,0
224369,Sputum Consistency,Sputum Consistency,,Text,,,chartevents,Respiratory,,488423,0
224370,Sputum Color,Sputum Color,,Text,,,chartevents,Respiratory,,503183,0
224372,Sputum Source,Sputum Source,,Text,,,chartevents,Respiratory,,557968,0
224373,Sputum Amount,Sputum Amount,,Text,,,chartevents,Respiratory,,560069,0
224375,Cont Neb - Med,Cont Neb - Med,,Text,,,chartevents,Respiratory,,20191,0
224379,PCA cleared,PCA cleared,,Text,,,chartevents,Pain/Sedation,,31025,0
224380,Neuro Waveform Appearance,Neuro Waveform Appearance,,Text,,,chartevents,Neurological,,0,0
224385,Intubation,Intubation,,Processes,,,procedureevents,1-Intubation/Extubation,,9777,0
224389,Heart Sounds,Heart Sounds,,Text,,,chartevents,Cardiovascular,,666,0
224390,Temporary Atrial Sens,Temp Atrial Sens,,Text,,,chartevents,Cardiovascular (Pacer Data),,44281,0
224391,ETT Mark (location),ETT Mark (location),,Text,,,chartevents,Respiratory,,234149,0
224392,ETT Position Change,ETT Position Change,,Text,,,chartevents,Respiratory,,492,0
224404,ART Lumen Volume,ART Lumen Volume,mL,Numeric,,,chartevents,Dialysis,,94488,0
224406,VEN Lumen Volume,VEN  Lumen Volume,mL,Numeric,,,chartevents,Dialysis,,94788,0
224409,Pain Level Response,Pain Level Response,,Text,,,chartevents,Pain/Sedation,,664970,0
224410,PCA bolus,PCA bolus,,Numeric,,,chartevents,Pain/Sedation,,7098,0
224411,Epidural Bolus (mL),Epidural Bolus (mL),mL,Numeric,,,chartevents,Pain/Sedation,,4035,0
224413,TOF Response,TOF Response,,Text,,,chartevents,Pain/Sedation,,30246,0
224414,TOF Twitch,TOF Twitch,,Text,,,chartevents,Pain/Sedation,,16798,0
224415,ETT Mark (cm),ETT Mark (cm),,Text,,,chartevents,Respiratory,,625056,0
224417,Cuff Pressure,Cuff Pressure,cmH2O,Numeric,,30,chartevents,Respiratory,,168352,0
224418,Cuff Volume (mL),Cuff Volume (mL),mL,Numeric,,,chartevents,Respiratory,,10457,0
224419,Negative Insp. Force,Negative Insp. Force,cmH2O,Numeric,,,chartevents,Respiratory,,3338,0
224420,Vital Cap,Vital Cap,Liters,Numeric,,,chartevents,Respiratory,,1913,0
224421,Spont Vt,Spont Vt,mL,Numeric,,,chartevents,Respiratory,,47701,0
224422,Spont RR,Spont RR,bpm,Numeric,,,chartevents,Respiratory,,47715,0
224423,CT #2 Crepitus,CT #2 Crepitus,,Text,,,chartevents,Pulmonary,,52664,0
224424,CT #2 Drainage,CT #2 Drainage,,Text,,,chartevents,Pulmonary,,59229,0
224425,CT #2 Dressing,CT #2 Dressing,,Text,,,chartevents,Pulmonary,,60327,0
224426,CT #2 Fluctuate,CT #2 Fluctuate,,Text,,,chartevents,Pulmonary,,57679,0
224427,CT #2 Suction Amount,CT #2 Suction Amount,,Text,,,chartevents,Pulmonary,,70142,0
224428,CT #3 Crepitus,CT #3 Crepitus,,Text,,,chartevents,Pulmonary,,17624,0
224429,CT #4 Crepitus,CT #4 Crepitus,,Text,,,chartevents,Pulmonary,,2906,0
224430,CT #3 Drainage,CT #3 Drainage,,Text,,,chartevents,Pulmonary,,19377,0
224431,CT #4 Drainage,CT #4 Drainage,,Text,,,chartevents,Pulmonary,,2960,0
224432,CT #3 Dressing,CT #3 Dressing,,Text,,,chartevents,Pulmonary,,19778,0
224433,CT #4 Dressing,CT #4 Dressing,,Text,,,chartevents,Pulmonary,,3065,0
224434,CT #3 Fluctuate,CT #3 Fluctuate,,Text,,,chartevents,Pulmonary,,18811,0
224435,CT #4 Fluctuate,CT #4 Fluctuate,,Text,,,chartevents,Pulmonary,,2907,0
224436,CT #3 Suction Amount,CT #3 Suction Amount,,Text,,,chartevents,Pulmonary,,23862,0
224437,CT #4 Suction Amount,CT #4 Suction Amount,,Text,,,chartevents,Pulmonary,,3526,0
224438,Chest Tube Site # 2,Chest Tube Site # 2,,Text,,,chartevents,Pulmonary,,83707,0
224439,Chest Tube Site #3,Chest Tube Site #3,,Text,,,chartevents,Pulmonary,,31267,0
224440,Chest Tube Site #4,Chest Tube Site #4,,Text,,,chartevents,Pulmonary,,4742,0
224441,GI #2 Intub Site,GI #2 Intub Site,,Text,,,chartevents,GI/GU,,95192,0
224442,GI #3 Intub Site,GI #3 Intub Site,,Text,,,chartevents,GI/GU,,16078,0
224443,GI #2 Tube Place Check,GI #2 Tube Place Check,,Text,,,chartevents,GI/GU,,6408,0
224444,GI #3 Tube Place Check,GI #3 Tube Place Check,,Text,,,chartevents,GI/GU,,489,0
224445,GI #2 Tube Drainage,GI #2 Tube Drainage,,Text,,,chartevents,GI/GU,,19859,0
224446,GI #3 Tube Drainage,GI #3 Tube Drainage,,Text,,,chartevents,GI/GU,,4214,0
224447,Family Meeting,Family Meeting,,Checkbox,,,chartevents,Restraint/Support Systems,,1848,0
224449,Traction/Immobile #2,Traction/Immobile #2,,Text,,,chartevents,Treatments,,138,0
224450,Traction/Immobile #3,Traction/Immobile #3,,Text,,,chartevents,Treatments,,59,0
224451,Traction/Immobile #4,Traction/Immobile #4,,Text,,,chartevents,Treatments,,0,0
224452,Traction/Immobile Location #2,Traction/Immobile Location #2,,Text,,,chartevents,Treatments,,1375,0
224453,Traction/Immobile Location #3,Traction/Immobile Location #3,,Text,,,chartevents,Treatments,,227,0
224454,Traction/Immobile Location #4,Traction/Immobile Location #4,,Text,,,chartevents,Treatments,,7,0
224455,PT Splint Location #4,PT Splint Location #4,,Text,,,chartevents,Treatments,,132,0
224456,PT Splint Location #2,PT Splint Location #2,,Text,,,chartevents,Treatments,,4172,0
224457,PT Splint Location #3,PT Splint Location #3,,Text,,,chartevents,Treatments,,823,0
224458,Drain Output_ingr,Drain Output_ingr,mL,Ingredient,,,outputevents,Drains,,0,0
224468,Ultrasound (CVL),Ultrasound (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224469,Medications / anesthetic (PA line),Medications / anesthetic (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224472,Indications (PA line),Indications (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224476,Insertion site (PA line),Insertion site (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224478,Type of catheter (PA line),Type of catheter (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224479,Complications (PA line),Complications (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224489,Indication (LP),Indication (LP),,Text,,,chartevents,Lumbar Puncture,,0,0
224490,Site cleansed with ChloraPrep(TM) (LP),Site cleansed with ChloraPrep(TM) (LP),,Checkbox,,,chartevents,Lumbar Puncture,,0,0
224491,Lidocaine 1% (LP),Lidocaine 1% (LP),mL SC,Numeric,,,chartevents,Lumbar Puncture,,0,0
224495,Patient position (LP),Patient position (LP),,Text,,,chartevents,Lumbar Puncture,,0,0
224496,Entry site (LP),Entry site (LP),,Text,,,chartevents,Lumbar Puncture,,0,0
224498,Amount of fluid removed (LP),Amount of fluid removed (LP),mL,Numeric,,,chartevents,Lumbar Puncture,,0,0
224499,Fluid removed (LP),Fluid removed (LP),,Text,,,chartevents,Lumbar Puncture,,0,0
224503,Patient (THCEN),Patient (THCEN),,Text,,,chartevents,Thoracentesis,,0,0
224504,With ultrasound (THCEN),With ultrasound (THCEN),,Text,,,chartevents,Thoracentesis,,0,0
224505,Lidocaine 1% (THCEN),Lidocaine 1% (THCEN),mL SC,Numeric,,,chartevents,Thoracentesis,,0,0
224506,Conscious sedation (THCEN),Conscious sedation (THCEN),,Checkbox,,,chartevents,Thoracentesis,,0,0
224508,Location (PICC),Location (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224511,Type of catheter (PICC),Type of catheter (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224512,Insertion site (PICC),Insertion site (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224515,Timeout performed by (PICC),Timeout performed by (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224517,Patient identified correctly (PICC),Patient identified correctly (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224560,PA Catheter,PA Catheter,,Processes,,,procedureevents,Access Lines - Invasive,,5845,0
224561,Impaired Skin Type #1,Type #1,,Text,,,chartevents,Skin - Impairment,,200432,0
224562,Impaired Skin Length #1,Site Length #1,cm,Numeric,,,chartevents,Skin - Impairment,,111607,0
224563,Impaired Skin Depth #1,Site Depth #1,cm,Numeric,,,chartevents,Skin - Impairment,,38628,0
224564,Impaired Skin Odor #1,Odor #1,,Checkbox,,,chartevents,Skin - Impairment,,277903,0
224565,Surrounding Tissue #1,Surrounding Tissue #1,,Text,,,chartevents,Skin - Impairment,,351971,0
224566,14 Gauge,14 Gauge,,Processes,,,procedureevents,Access Lines - Peripheral,,892,0
224568,Barrier precautions in place (PICC),Barrier precautions in place (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224571,Guidewire exchange (PICC),Guidewire exchange (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224577,Side (PICC),Side (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224581,Ultrasound (PICC),Ultrasound (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224582,Verification of (PICC),Verification of (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224584,Number of attempts required to place line (PICC),Number of attempts required to place line (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224596,Acuity (PICC),Acuity (PICC),,Text,,,chartevents,PICC Line Insertion,,0,0
224604,Thermodilution (PA line),Thermodilution (PA line),,Checkbox,,,chartevents,PA Line Insertion,,0,0
224605,Fick (PA line),Fick (PA line),,Checkbox,,,chartevents,PA Line Insertion,,0,0
224617,Timeout performed by (PA line),Timeout performed by (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224618,Patient identified correctly (PA line),Patient identified correctly (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224619,Verification of (PA line),Verification of (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224624,Barrier precautions in place (PA line),Barrier precautions in place (PA line),,Text,,,chartevents,PA Line Insertion,,0,0
224629,Number of operators (CVL),Number of operators (CVL),,Text,,,chartevents,CVL Insertion,,0,0
224631,Pressure Ulcer Stage #1,Pressure Ulcer Stage #1,,Text,,,chartevents,Skin - Impairment,,70389,0
224632,Tunneling Present #1,Tunneling Present #1,,Text,,,chartevents,Skin - Impairment,,76411,0
224633,Undermining Present #1,Undermining Present #1,,Text,,,chartevents,Skin - Impairment,,65207,0
224640,Service,Service,,Text,,,chartevents,General,,100636,0
224641,Alarms On,Alarms On,,Checkbox,,,chartevents,Alarms,,2023898,0
224642,Temperature Site,Temp Site,,Text,,,chartevents,Routine Vital Signs,,2500193,0
224645,Orthostatic BPs lying,Orthostatic BPs lying,mmHg,Numeric,,,chartevents,Routine Vital Signs,,644,0
224646,Orthostatic BPs sitting,Orthostatic BPs sitting,mmHg,Numeric,,,chartevents,Routine Vital Signs,,697,0
224647,Orthostatic HR standing,Orthostatic HR standing,bpm,Numeric,,,chartevents,Routine Vital Signs,,565,0
224650,Ectopy Type 1,Ectopy Type 1,,Text,,,chartevents,Routine Vital Signs,,7049295,0
224651,Ectopy Frequency 1,Ectopy Frequency 1,,Text,,,chartevents,Routine Vital Signs,,1113644,0
224652,Unassisted Systole,SYS - Unassisted,mmHg,Numeric,,,chartevents,IABP,,42773,0
224654,PAEDP,DIA - Unassisted,mmHg,Numeric,,,chartevents,IABP,,42723,0
224659,Vacuum Assist,Vacuum Assist,mmHg,Numeric,,,chartevents,Hemodynamics,,997,0
224660,ECMO,ECMO,L/min,Numeric,,,chartevents,Hemodynamics,,213,0
224661,Baseline Current/mA,Baseline Current/mA,mA,Numeric,,,chartevents,Pain/Sedation,,20351,0
224662,Current Used/mA,Current Used/mA,mA,Numeric,,,chartevents,Pain/Sedation,,27726,0
224663,PCA attempt,PCA attempt,,Numeric,,,chartevents,Pain/Sedation,,38288,0
224665,PCA total dose,PCA total dose,,Numeric,,,chartevents,Pain/Sedation,,31813,0
224666,Nasal Congestion,Nasal Congestion,,Text,,,chartevents,Toxicology,,2015,0
224667,Goose Flesh,Goose Flesh,,Text,,,chartevents,Toxicology,,2051,0
224668,Sweating,Sweating,,Text,,,chartevents,Toxicology,,2056,0
224669,Restlessness,Restlessness,,Text,,,chartevents,Toxicology,,2052,0
224670,Lacrimation,Lacrimation,,Text,,,chartevents,Toxicology,,2048,0
224671,Pupils,Pupils,,Text,,,chartevents,Toxicology,,2038,0
224672,Yawning,Yawning,,Text,,,chartevents,Toxicology,,2015,0
224673,Abdominal Changes: Observation,Abdominal Changes: Observation,,Text,,,chartevents,Toxicology,,2044,0
224674,Changes in Temperature,Changes in Temperature,,Text,,,chartevents,Toxicology,,2046,0
224675,Muscle Aches,Muscle Aches,,Text,,,chartevents,Toxicology,,2032,0
224676,Nausea and Vomiting (CINA),Nausea and Vomiting (CINA),,Text,,,chartevents,Toxicology,,2063,0
224677,Tremor (CINA),Tremor (CINA),,Text,,,chartevents,Toxicology,,2044,0
224680,Cuff Volume/units,Units,,Text,,,chartevents,Respiratory,,4904,0
224684,Tidal Volume (set),Tidal Volume (set),mL,Numeric,299,750,chartevents,Respiratory,,429326,0
224686,Tidal Volume (spontaneous),Tidal Volume (spontaneous),mL,Numeric,299,750,chartevents,Respiratory,,425528,0
224687,Minute Volume,Minute Volume,L/min,Numeric,,12.10000038,chartevents,Respiratory,,813922,0
224688,Respiratory Rate (Set),Respiratory Rate (Set),insp/min,Numeric,,,chartevents,Respiratory,,452923,0
224689,Respiratory Rate (spontaneous),Respiratory Rate (spontaneous),insp/min,Numeric,,,chartevents,Respiratory,,787221,0
224691,Flow Rate (L/min),Flow Rate (L/min),L/min,Numeric,,,chartevents,Respiratory,,351146,0
224692,Flow Pattern,Flow Pattern,,Text,,,chartevents,Respiratory,,719118,0
224695,Peak Insp. Pressure,Peak Insp. Pressure,cmH2O,Numeric,,,chartevents,Respiratory,,789652,0
224696,Plateau Pressure,Plateau Pressure,cmH2O,Numeric,,31,chartevents,Respiratory,,292185,0
